94.10 Landcode	94.11 Omschrijving	99.98 Datum ingang	99.99 Datum einde	Fictieve datum einde
9076	Abessini\0xEB		19910601	*
9061	Abu Dhabi		19910601	*
9041	Aden		19910601	*
6023	Afghanistan			
9062	Ajman		19910601	*
5034	Albani\0xEB			
6047	Algerije			
7088	Amerikaanse Maagdeneilanden			
8002	Amerikaans-Samoa			
7005	Andorra			
5026	Angola			
8036	Anguilla			
8038	Antigua		19811101	
8045	Antigua en Barbuda	19811101		
7015	Argentini\0xEB			
5054	Armeni\0xEB	19911231		
5095	Aruba	19860101		
5055	Ascension			
6016	Australi\0xEB			
5041	Australisch Nieuw-Guinea		19750916	
7089	Australische Salomonseilanden		19750916	
5097	Azerbeidzjan	19911231		
5056	Azoren			
6033	Bahama's			
5057	Bahrein			
7084	Bangladesh	19711216		
7004	Barbados			
9063	Basutoland		19661004	
9064	Bechuanaland		19660930	
5098	Belarus	19911231		
8043	Belau		19941001	
5010	Belgi\0xEB			
7068	Belgisch-Congo		19600630	
8017	Belize			
8023	Benin	19751130		
9048	Bermuda			
5058	Bhutan			
6015	Bolivia			
5106	Bonaire	20101010		
9089	Bondsrepubliek Duitsland	19490801		
6065	Bosni\0xEB-Herzegovina	19920406		
5011	Botswana	19660930		
6008	Brazili\0xEB			
7095	Brits Antarctisch Territorium			
7096	Brits Indische Oceaanterritorium			
7083	Brits Noord-Borneo		19630916	
7082	Brits Oost-Afrika		19631212	
7075	Brits West-Borneo		19630916	
7062	Brits West-Indi\0xEB		19620201	
7067	Brits-Afrika		19910601	*
9058	Brits-Borneo		19630916	
5059	Britse Antillen	19620201	19811101	
7030	Britse Maagdeneilanden			
6058	Britse Salomonseilanden		19780707	
9031	Brits-Guyana		19660526	
6052	Brits-Honduras		19730601	
7070	Brits-Indi\0xEB		19470815	
9006	Brits-Kameroen		19611001	
9027	Brits-Somaliland		19600701	
5042	Brunei			
7024	Bulgarije			
5096	Burkina Faso	19840804		
5031	Burma		19890618	
6001	Burundi	19620701		
8010	Cabinda		19910601	*
7093	Caicoseilanden		19910601	*
6031	Cambodja			
5001	Canada	18670701		
6053	Canarische Eilanden			
8011	Canton en Enderbury		19910601	*
7092	Caymaneilanden			
9086	Centraal-Afrikaanse Republiek			
9052	Ceylon		19720522	
5021	Chili			
6022	China			
8012	Christmaseiland			
8013	Cocoseilanden			
5033	Colombia			
5060	Comoren			
9008	Congo	19600815		
9013	Congo-Brazzaville		19600815	
9009	Congo-Kinshasa		19711027	
7097	Cookeilanden			
7007	Costa Rica			
5006	Cuba			
5107	Cura\0xE7ao	20101010		
5040	Cyprus			
7023	Dahomey		19751130	
9085	Dantzig		19390901	
6069	Democratische Republiek Congo	19970517		
5015	Denemarken			
9087	Djibouti	19770627		
8030	Dominica			
7027	Dominicaanse Republiek			
8032	Dubai		19910601	*
9050	Duits Oost-Afrika		19910601	*
9022	Duits Zuidwest-Afrika		19910601	*
7085	Duitse Democratische Republiek	19491007	19901003	
6029	Duitsland		19910601	*
7039	Ecuador			
7014	Egypte			
7032	El Salvador			
9043	Equatoriaal-Guinea			
9003	Eritrea			
7065	Estland			
5020	Ethiopi\0xEB			
8014	Faer\0xF6er			
5061	Falklandeilanden			
6068	Federale Republiek Joegoslavi\0xEB	19920427	20040201	
6032	Fiji			
5027	Filipijnen			
6002	Finland			
5002	Frankrijk			
9078	Frans Equatoriaal-Afrika		19910601	*
7074	Frans Indochina		19910601	*
9016	Frans Territorium voor Afars en Issa's		19770627	
9077	Frans West-Afrika		19910601	*
7079	Frans-Congo		19600815	
5062	Frans-Guyana			
5079	Frans-Indi\0xEB		19910601	*
9066	Frans-Kameroen		19600101	
6054	Frans-Polynesi\0xEB			
5063	Frans-Somaliland		19770627	
9065	Fujairah		19910601	*
6048	Gabon			
7008	Gambia			
5112	Gazastrook en Westelijke Jordaanoever	19480515		
6064	Georgi\0xEB	19911231		
5024	Ghana	19570306		
6055	Gibraltar			
5064	Gilbert- en Ellice-eilanden		19751001	
8040	Gilberteilanden		19790712	
9084	Goa		19611218	
7076	Goudkust		19570306	
8008	Grenada			
6003	Griekenland			
5065	Groenland			
6039	Groot-Brittanni\0xEB			
5066	Guadeloupe			
8001	Guam			
6004	Guatemala			
7040	Guinee			
5072	Guinee-Bissau			
6025	Guyana	19660526		
6041	Ha\0xEFti			
8000	Hawaii-eilanden		19910601	*
7017	Honduras			
5017	Hongarije			
7036	Hongkong		19970701	
6007	Ierland			
9005	Ifni		19690106	
6011	IJsland			
7046	India			
9055	Indochina		19910601	*
6024	Indonesi\0xEB	19491227		
9999	Internationaal gebied			
5043	Irak			
5012	Iran			
6034	Isra\0xEBl	19480514		
9028	Italiaans-Somaliland		19600701	
7044	Itali\0xEB			
5030	Ivoorkust			
6017	Jamaica			
7035	Japan			
5048	Jemen	19900522		
6045	Joegoslavi\0xEB		19960601	*
5080	Johnston			
9067	Johore		19460401	
6042	Jordani\0xEB			
8025	Kaapverdi\0xEB			
5067	Kaapverdische Eilanden		19750705	*
5035	Kameroen	19600101		
8034	Kanaaleilanden			
5046	Kashmir		19910601	*
5099	Kazachstan	19911231		
5081	Kedah		19460401	
9007	Keizer Wilhelmsland		19910601	*
5082	Kelantan		19460401	
7002	Kenya	19631212		
6021	Kirgizi\0xEB	19911231		
8027	Kiribati	19790712		
7045	Koeweit			
9068	Korea		19910601	*
5105	Kosovo	20080217		
5051	Kroati\0xEB	19920115		
9069	Labuan		19910601	*
5025	Laos			
9014	Leewardeilanden		19910601	*
7016	Lesotho	19661004		
7064	Letland	19181118		
7043	Libanon			
5019	Liberia	18470726		
6006	Libi\0xEB			
6012	Liechtenstein			
7066	Litouwen	19180216		
6018	Luxemburg			
